gene_id	gene_type	position	description	gene_symbol
mmu:109294	CDS	1:11063496..11373907	Prex2, 6230420N16Rik, C030045D06Rik, D430013K02, Depdc2, P-Rex2; phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	Prex2
mmu:115487671	ncRNA	1:complement(11204335..11204462)	Gm24173; predicted gene, 24173	Gm24173
mmu:320492	CDS	1:11484121..12046126	A830018L16Rik; RIKEN cDNA A830018L16 gene	A830018L16Rik
mmu:115487708	ncRNA	1:12445160..12445266	Gm22633; predicted gene, 22633	Gm22633
mmu:102465961	miRNA	1:12496210..12496330	Mir6341, Gm27262, mmu-mir-6341; microRNA 6341	Mir6341
mmu:240725	CDS	1:12762421..12946090	Sulf1, MSulf-1, mKIAA1077; sulfatase 1	Sulf1
mmu:240726	CDS	1:complement(12936773..13063043)	Slco5a1, 4732454B15, A630033C23Rik; solute carrier organic anion transporter family, member 5A1	Slco5a1
mmu:383491	CDS	1:complement(13183649..13197467)	Prdm14; PR domain containing 14	Prdm14
mmu:17978	CDS	1:complement(13209329..13444451)	Ncoa2, D1Ertd433e, GRIP-1, Grip1, KAT13C, NCoA-2, SRC-2, TIF2, bHLHe75; nuclear receptor coactivator 2	Ncoa2
mmu:115487625	ncRNA	1:complement(13404722..13404833)	Gm23169; predicted gene, 23169	Gm23169
mmu:72265	CDS	1:complement(13634917..13660134)	Tram1, 1810049E02Rik, TRAMP; translocating chain-associating membrane protein 1	Tram1
mmu:212442	CDS	1:complement(13695069..13730749)	Lactb2, Cgi-83, E430032H21Rik; lactamase, beta 2	Lactb2
mmu:381246	CDS	1:13738962..13772454	Xkr9, Gm1620, XRG9; X-linked Kx blood group related 9	Xkr9
mmu:115485793	ncRNA	1:complement(13844558..13844688)	Gm26273; predicted gene, 26273	Gm26273
mmu:14048	CDS	1:complement(14239177..14381259)	Eya1, bor; EYA transcriptional coactivator and phosphatase 1	Eya1
mmu:17681	CDS	1:complement(14823570..14826216)	Msc, MyoR, bHLHa22; musculin	Msc
mmu:277328	CDS	1:complement(14942868..14989086)	Trpa1, Anktm1, TRPA1b; transient receptor potential cation channel, subfamily A, member 1	Trpa1
mmu:98741	CDS	1:15357149..15793975	Kcnb2, 9630047L19Rik, Kv2.2; potassium voltage gated channel, Shab-related subfamily, member 2	Kcnb2
mmu:115485792	ncRNA	1:15828056..15828187	Gm25168; predicted gene, 25168	Gm25168
mmu:21749	CDS	1:15875634..15914283	Terf1, Pin2, Trbf1, Trf1; telomeric repeat binding factor 1	Terf1
mmu:226866	CDS	1:complement(15924086..15962946)	Sbspon, Gm106, Rpesp; somatomedin B and thrombospondin, type 1 domain containing	Sbspon
mmu:75799	CDS	1:complement(16136198..16163549)	4930444P10Rik; RIKEN cDNA 4930444P10 gene	4930444P10Rik
mmu:19989	CDS	1:complement(16171519..16174657)	Rpl7, Rpl7a, Surf-3; ribosomal protein L7	Rpl7
mmu:98711	CDS	1:16176106..16202774	Rdh10, 3110069K09Rik, 4921506A21Rik, D1Ertd762e, m366Asp; retinol dehydrogenase 10 (all-trans)	Rdh10
mmu:29819	CDS	1:complement(16299027..16591228)	Stau2; staufen double-stranded RNA binding protein 2	Stau2
mmu:66799	CDS	1:complement(16611012..16689676)	Ube2w, 6130401J04Rik; ubiquitin-conjugating enzyme E2W (putative)	Ube2w
mmu:67923	CDS	1:complement(16711949..16727652)	Eloc, 2610043E24Rik, 2610301I15Rik, Tceb1; elongin C	Eloc
mmu:70397	CDS	1:16735415..16748501	Tmem70, 1110020A09Rik, 2210416J16Rik; transmembrane protein 70	Tmem70
mmu:17087	CDS	1:16758680..16779829	Ly96, ESOP-1, MD-2, MD2; lymphocyte antigen 96	Ly96
mmu:57339	CDS	1:complement(17012328..17168132)	Jph1, JP-1, Jp1; junctophilin 1	Jph1
mmu:14545	CDS	1:17202028..17234513	Gdap1; ganglioside-induced differentiation-associated-protein 1	Gdap1
mmu:94227	CDS	1:17672064..17701169	Pi15, P24TI, P25TI, PI-15, SugarCrisp; peptidase inhibitor 15	Pi15
mmu:83691	CDS	1:17797276..17840350	Crispld1, Cocoacrisp, Lcrisp1; cysteine-rich secretory protein LCCL domain containing 1	Crispld1
mmu:78081	CDS	1:complement(18185113..18216126)	Crisp4, 9230112K08Rik; cysteine-rich secretory protein 4	Crisp4
mmu:654460	CDS	1:complement(18306626..18307700)	Defb18, BD-18, EG654460, mBD-18; defensin beta 18	Defb18
mmu:77673	CDS	1:complement(18321200..18335362)	Defb41, 9230102D03Rik, BD-17, Bd-41, Defb16, Defb17, Gm15386; defensin beta 41	Defb41
mmu:108167808	CDS	1:19107520..19107729	Gm28343; predicted gene 28343	Gm28343
mmu:226896	CDS	1:19173246..19244172	Tfap2d, Tcfap2d; transcription factor AP-2, delta	Tfap2d
mmu:21419	CDS	1:19279132..19309071	Tfap2b, AP-2(beta), AP2-beta, E130018K07Rik, Tcfap2b; transcription factor AP-2 beta	Tfap2b
mmu:241035	CDS	1:complement(20128003..20688306)	Pkhd1, FPC, Tigm1; polycystic kidney and hepatic disease 1	Pkhd1
mmu:115487586	ncRNA	1:complement(20515035..20515136)	Gm24162; predicted gene, 24162	Gm24162
mmu:387202	miRNA	1:20749234..20749306	Mir206, Mirn206, mmu-mir-206; microRNA 206	Mir206
mmu:723817	miRNA	1:20752993..20753111	Mir133b, Mirn133b, mir-133b; microRNA 133b	Mir133b
mmu:16171	CDS	1:20801129..20804720	Il17a, Ctla-8, Ctla8, IL-17, IL-17A, Il17; interleukin 17A	Il17a
mmu:257630	CDS	1:complement(20847370..20855498)	Il17f, IL-17F; interleukin 17F	Il17f
mmu:17215	CDS	1:complement(20873188..20890536)	Mcm3, Mcmd, P1, P1-MCM3, p1.m; minichromosome maintenance complex component 3	Mcm3
mmu:115485821	ncRNA	1:complement(20912759..20912890)	Gm24723; predicted gene, 24723	Gm24723
mmu:74229	CDS	1:20960772..21009874	Paqr8, 1700019B16Rik, 3110001D06Rik, mPR_beta; progestin and adipoQ receptor family member VIII	Paqr8
mmu:115485789	ncRNA	1:complement(20985634..20985764)	Gm24171; predicted gene, 24171	Gm24171
mmu:71877	CDS	1:21021776..21061065	Efhc1, 1700029F22Rik, mRib72-1, myoclonin1; EF-hand domain (C-terminal) containing 1	Efhc1
mmu:170829	CDS	1:complement(21071621..21149449)	Tram2, C330003D03Rik; translocating chain-associating membrane protein 2	Tram2
mmu:75712	CDS	1:21236609..21300391	Tmem14a, 5730496E24Rik, PTD011; transmembrane protein 14A	Tmem14a
mmu:14859	CDS	1:21310837..21335885	Gsta3, Gst2-3; glutathione S-transferase, alpha 3	Gsta3
mmu:101056100	CDS	1:21342532..21343326	Gm7094, EG632802; predicted pseudogene 7094	Gm7094
mmu:368204	CDS	1:21419901..21422423	Khdc1a, AU014713, C88118, Ndg1; KH domain containing 1A	Khdc1a
mmu:433278	CDS	1:21438555..21439967	Khdc1c, Khdc1b; KH domain containing 1C	Khdc1c
mmu:98582	CDS	1:21453780..21456608	Khdc1b, Khdc1, Khdc1c; KH domain containing 1B	Khdc1b
mmu:226922	CDS	1:complement(21468623..22032874)	Kcnq5, 7730402H11, 9230107O05Rik, D1Mgi1; potassium voltage-gated channel, subfamily Q, member 5	Kcnq5
mmu:116837	CDS	1:complement(22356196..22845239)	Rims1, C030033M19Rik, RIM1, RIM1a, RIM1alpha, Rab3ip1, Rim, Serg1; regulating synaptic membrane exocytosis 1	Rims1
mmu:66755	CDS	1:complement(23139554..23141334)	Ppp1r14bl, 4933415F23Rik; protein phosphatase 1, regulatory inhibitor subunit 14B like	Ppp1r14bl
mmu:387225	miRNA	1:23311350..23311420	Mir30a, Mirn30a, mir-30a, mmu-mir-30a; microRNA 30a	Mir30a
mmu:723964	miRNA	1:23330782..23330865	Mir30c-2, Mirn30c-2, mir-30c-2; microRNA 30c-2	Mir30c-2
mmu:70155	CDS	1:complement(23405505..23422282)	Ogfrl1, 2210417C17Rik; opioid growth factor receptor-like 1	Ogfrl1
mmu:280645	CDS	1:23801007..23886946	B3gat2, GlcAT-S, Glcats; beta-1,3-glucuronyltransferase 2	B3gat2
mmu:98366	CDS	1:complement(23883925..23961462)	Smap1, 1700056O10Rik, 4921514B13Rik, 4921525H11Rik; small ArfGAP 1	Smap1
mmu:68002	CDS	1:complement(24035020..24044721)	Sdhaf4, 1110058L19Rik, 1700001E18Rik, C6orf57; succinate dehydrogenase complex assembly factor 4	Sdhaf4
mmu:68187	CDS	1:complement(24049824..24139444)	Fam135a, 4921533L14Rik; family with sequence similarity 135, member A	Fam135a
mmu:12839	CDS	1:24216670..24291819	Col9a1, Col9a-1; collagen, type IX, alpha 1	Col9a1
mmu:12823	CDS	1:complement(24296764..24627870)	Col19a1; collagen, type XIX, alpha 1	Col19a1
mmu:115485770	ncRNA	1:complement(24587922..24588058)	Gm26418; predicted gene, 26418	Gm26418
mmu:68421	CDS	1:24716073..24805382	Lmbrd1, 0910001K20Rik, LMBD1; LMBR1 domain containing 1	Lmbrd1
mmu:210933	CDS	1:complement(25106557..25869338)	Adgrb3, A830096D10Rik, Bai3; adhesion G protein-coupled receptor B3	Adgrb3
mmu:100504323	CDS	1:complement(25315485..25317035)	Gm20172; predicted gene, 20172	Gm20172
mmu:115487583	ncRNA	1:complement(25318526..25318632)	Gm22260; predicted gene, 22260	Gm22260
mmu:115487617	ncRNA	1:25490152..25490255	Gm25294; predicted gene, 25294	Gm25294
mmu:210940	CDS	1:complement(26720882..26726541)	Spata31e2, 4931408C20Rik; spermatogenesis associated 31 subfamily E member 2	Spata31e2
mmu:210962	CDS	1:complement(28815203..28819333)	Spata31e5, Gm597; spermatogenesis associated 31 subfamily E member 5	Spata31e5
mmu:623924	CDS	1:28977116..28977421	Gm6462, EG623924; predicted gene 6462	Gm6462
mmu:102465174	miRNA	1:29460569..29460693	Mir6342, Gm27268, mmu-mir-6342; microRNA 6342	Mir6342
mmu:108167616	CDS	1:complement(30681125..30681397)	Gm46086; predicted gene, 46086	Gm46086
mmu:115487655	ncRNA	1:30758478..30758621	Gm57566; predicted gene, 57566	Gm57566
mmu:213109	CDS	1:complement(30841417..30912989)	Phf3, 2310061N19Rik; PHD finger protein 3	Phf3
mmu:19243	CDS	1:complement(30979384..30988838)	Ptp4a1, C130021B01, Prl-1; protein tyrosine phosphatase 4a1	Ptp4a1
mmu:266744	CDS	1:31215362..31243806	Lgsn, Gluld1, Lgs, lengsin; lengsin, lens protein with glutamine synthetase domain	Lgsn
mmu:74708	CDS	1:31261920..31263368	Dnaaf6rt, 4930521A18Rik, Dnaaf6, Pih1d3; dynein axonemal assembly factor 6, retrotransposed	Dnaaf6rt
mmu:115485790	ncRNA	1:complement(31298674..31298800)	Gm26145; predicted gene, 26145	Gm26145
mmu:115487662	ncRNA	1:complement(31410923..31411065)	Gm57572; predicted gene, 57572	Gm57572
mmu:115487630	ncRNA	1:complement(31695713..31695819)	Gm23032; predicted gene, 23032	Gm23032
mmu:170771	CDS	1:32211683..32744305	Khdrbs2, 6330586C16Rik, Slim1, Slm-1, Slm1, TG-RP135, Tg(LRRK2*R1441G)135Cjli, mSLM-1; KH domain containing, RNA binding, signal transduction associated 2	Khdrbs2
mmu:115487604	ncRNA	1:complement(32252214..32252320)	Gm25814; predicted gene, 25814	Gm25814
mmu:408192	CDS	1:complement(32558644..32560080)	Gm9839, Senp15; predicted gene 9839	Gm9839
mmu:408191	CDS	1:complement(32582627..32586374)	Semp2l1, EG408191, Gm5415, Senp14; SUMO/sentrin specific peptidase 2-like 1	Semp2l1
mmu:115487635	ncRNA	1:complement(32607440..32607502)	Gm24732; predicted gene, 24732	Gm24732
mmu:115487628	ncRNA	1:33231074..33231183	Gm24901; predicted gene, 24901	Gm24901
mmu:115487597	ncRNA	1:33332757..33332865	Gm25792; predicted gene, 25792	Gm25792
mmu:115487581	ncRNA	1:33461814..33461919	Gm23453; predicted gene, 23453	Gm23453
mmu:19076	CDS	1:complement(33492889..33708867)	Prim2; DNA primase, p58 subunit	Prim2
mmu:19335	CDS	1:33758991..33781642	Rab23, opb, opb2, rab-15; RAB23, member RAS oncogene family	Rab23
mmu:213539	CDS	1:complement(33784565..33796831)	Bag2, 2610042A13Rik; BCL2-associated athanogene 2	Bag2
mmu:98403	CDS	1:complement(33800622..33854683)	Zfp451, 4930515K21Rik, 4933435G09Rik, COASTER, Kiaa0576-hp, Znf451, mKIAA1702; zinc finger protein 451	Zfp451
mmu:433287	CDS	1:complement(33874980..33877995)	Gm15455; predicted gene 15455	Gm15455
mmu:320705	CDS	1:complement(33891133..33946925)	Bend6, B230209C24Rik; BEN domain containing 6	Bend6
mmu:13518	CDS	1:33946969..34347743	Dst, 2310001O04Rik, A830042E19Rik, BP230, BPAG1-n, Bpag, Bpag1, Macf2, ah, athetoid, dt, mKIAA0728, nmf203, nmf339; dystonin	Dst
mmu:102466987	miRNA	1:34156440..34156512	Mir6896, mmu-mir-6896; microRNA 6896	Mir6896
mmu:100628580	miRNA	1:complement(34472202..34472280)	Mir5103, mir-5103, mmu-mir-5103, mu-mir-5103; microRNA 5103	Mir5103
mmu:69668	CDS	1:complement(34475751..34478753)	Ccdc115, 2310061I09Rik, Ccp1; coiled-coil domain containing 115	Ccdc115
mmu:27993	CDS	1:34478951..34488437	Imp4, D1Wsu40e; IMP4, U3 small nucleolar ribonucleoprotein	Imp4
mmu:19253	CDS	1:34498827..34514811	Ptpn18, FLP-1, FLP1, HSCF, PTP-HSCF, PTP-K1, Ptpk1; protein tyrosine phosphatase, non-receptor type 18	Ptpn18
mmu:21755	CDS	1:34537493..34542143	Prss39, Tesp1; serine protease 39	Prss39
mmu:12627	CDS	1:34574729..34583392	Cfc1, b2b970Clo, cryptic; cryptic, EGF-CFC family member 1	Cfc1
mmu:21756	CDS	1:complement(34575529..34600099)	Prss40, Tesp2; serine protease 40	Prss40
mmu:211383	CDS	1:34617988..34630025	Amer3, 9430069J07Rik, Fam123c; APC membrane recruitment 3	Amer3
mmu:226970	CDS	1:34717263..34851819	Arhgef4, 9330140K16Rik, Asef, C230030N03Rik; Rho guanine nucleotide exchange factor 4	Arhgef4
mmu:121811709	CDS	1:34840822..34851819	Smim39, Gm55978; small integral membrane protein 39	Smim39
mmu:214469	CDS	1:complement(34852307..34882094)	Fam168b, Mani, mKIAA4042; family with sequence similarity 168, member B	Fam168b
mmu:226971	CDS	1:34889040..34918666	Plekhb2, 2310009M15Rik, Evt2, Phdc, evt-2; pleckstrin homology domain containing, family B (evectins) member 2	Plekhb2
mmu:115485778	ncRNA	1:complement(35218037..35218165)	Gm25096; predicted gene, 25096	Gm25096
mmu:115487610	ncRNA	1:35800683..35800787	Gm25634; predicted gene, 25634	Gm25634
mmu:50785	CDS	1:36107481..36145527	Hs6st1, 6Ost1; heparan sulfate 6-O-sulfotransferase 1	Hs6st1
mmu:320011	CDS	1:complement(36179109..36283407)	Uggt1, 0910001L17Rik, A930007H10Rik, C820010P03Rik, GT, UGT1, Ugcgl1; UDP-glucose glycoprotein glucosyltransferase 1	Uggt1
mmu:102465540	miRNA	1:complement(36183333..36183394)	Mir6897, Gm27652, mmu-mir-6897; microRNA 6897	Mir6897
mmu:214854	CDS	1:complement(36303683..36313755)	Neurl3, 2010300P06Rik, Lincr; neuralized E3 ubiquitin protein ligase 3	Neurl3
mmu:214855	CDS	1:36346814..36363117	Arid5a, D430024K22Rik, Mrf1; AT-rich interaction domain 5A	Arid5a
mmu:226976	CDS	1:complement(36374811..36408276)	Kansl3, 4632411B12Rik, 4932435K23, Kiaa1310, mKIAA1310; KAT8 regulatory NSL complex subunit 3	Kansl3
mmu:102465541	miRNA	1:complement(36387763..36387839)	Mir6898, Gm27816, mmu-mir-6898; microRNA 6898	Mir6898
mmu:100534273	CDS	1:36411264..36461191	Fer1l5, 4930533C12Rik; fer-1 like family member 5	Fer1l5
mmu:214895	CDS	1:complement(36458274..36484352)	Lman2l, A630028F14Rik, VIP36-like, VIPL; lectin, mannose-binding 2-like	Lman2l
mmu:94220	CDS	1:36510678..36547857	Cnnm4, 5430430O18Rik, Acdp4; cyclin M4	Cnnm4
mmu:94218	CDS	1:36550948..36567318	Cnnm3, Acdp3, Clp3, mACDP3; cyclin M3	Cnnm3
mmu:78321	CDS	1:complement(36569269..36578380)	Ankrd23, 1110058D09Rik, 2310041C05Rik, Darp, Gm42417, MARP3; ankyrin repeat domain 23	Ankrd23
mmu:109346	CDS	1:complement(36577252..36586333)	Ankrd39, 9130416N05Rik, C030004B10Rik; ankyrin repeat domain 39	Ankrd39
mmu:20353	CDS	1:complement(36587720..36599780)	Sema4c, M-Sema_F, Semacl1, Semaf, Semai, sema_I; sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	Sema4c
mmu:381337	CDS	1:complement(36601779..36722271)	Fam178b, 1700024G10Rik, Gm990; family with sequence similarity 178, member B	Fam178b
mmu:12859	CDS	1:36730568..36732469	Cox5b; cytochrome c oxidase subunit 5B	Cox5b
mmu:226977	CDS	1:complement(36737195..36749051)	Actr1b, 2310066K23Rik, Arp1b; ARP1 actin-related protein 1B, centractin beta	Actr1b
mmu:71166	CDS	1:36749136..36797040	4933424G06Rik, 1700104I15Rik; RIKEN cDNA 4933424G06 gene	4933424G06Rik
mmu:22637	CDS	1:36800912..36821899	Zap70, Srk, ZAP-70, mrtle, mur; zeta-chain (TCR) associated protein kinase	Zap70
mmu:56030	CDS	1:complement(36831270..36978714)	Tmem131, 2610524E03Rik, CC28, D1Bwg0491e, Neg, RW1, YR-23, mKIAA0257; transmembrane protein 131	Tmem131
mmu:70853	CDS	1:37068372..37226689	Vwa3b, 4921511C04Rik, A230074B11Rik, Gm555; von Willebrand factor A domain containing 3B	Vwa3b
mmu:12790	CDS	1:37257317..37302465	Cnga3, CNG-3, CNG3; cyclic nucleotide gated channel alpha 3	Cnga3
mmu:269180	CDS	1:37338908..37449821	Inpp4a, 107kDa, 9630012D15, D130048C09Rik; inositol polyphosphate-4-phosphatase, type I	Inpp4a
mmu:76178	CDS	1:complement(37456166..37469184)	Coa5, 1700001A24Rik, 6330578E17Rik, Pet191; cytochrome C oxidase assembly factor 5	Coa5
mmu:67387	CDS	1:37469220..37478068	Unc50, 1110002A21Rik, GMH1, UNCL, URP; unc-50 homolog	Unc50
mmu:269181	CDS	1:complement(37478421..37580599)	Mgat4a, 9530018I07Rik, GnT-IVa, glcNAc-T-IVa; mannoside acetylglucosaminyltransferase 4, isoenzyme A	Mgat4a
mmu:72097	CDS	1:complement(37650758..37758905)	Cracdl, 2010300C02Rik; capping protein inhibiting regulator of actin like	Cracdl
mmu:211484	CDS	1:complement(37793651..37905507)	Tsga10, 4933432N21Rik, Gm217, Mtsga10; testis specific 10	Tsga10
mmu:623661	CDS	1:37910819..37915309	Lipt1, EG623661; lipoyltransferase 1	Lipt1
mmu:69028	CDS	1:complement(37913882..37929530)	Mitd1, 1500032H18Rik; MIT, microtubule interacting and transport, domain containing 1	Mitd1
mmu:107734	CDS	1:37929558..37937419	Mrpl30, 2310001L22Rik, L30mt, MRP-L28, MRP-L30, Rpml28; mitochondrial ribosomal protein L30	Mrpl30
mmu:332427	CDS	1:complement(37945004..37955574)	Lyg2, Gm776; lysozyme G-like 2	Lyg2
mmu:69541	CDS	1:complement(37985819..37996840)	Lyg1, 2300002O18Rik; lysozyme G-like 1	Lyg1
mmu:98258	CDS	1:complement(38022385..38036324)	Txndc9, APACD; thioredoxin domain containing 9	Txndc9
mmu:226982	CDS	1:38037091..38094660	Eif5b, A030003E17Rik, IF2; eukaryotic translation initiation factor 5B	Eif5b
mmu:56210	CDS	1:complement(38091867..38169191)	Rev1, 1110027I23Rik, Rev1l; REV1, DNA directed polymerase	Rev1
mmu:16764	CDS	1:complement(38212936..38704036)	Aff3, 3222402O04Rik, A730046J16, LAF-4, Laf4; AF4/FMR2 family, member 3	Aff3
mmu:115487659	ncRNA	1:complement(38728556..38728698)	Gm57569; predicted gene, 57569	Gm57569
mmu:381338	CDS	1:complement(38832750..38875768)	Lonrf2, 2900060P06Rik; LON peptidase N-terminal domain and ring finger 2	Lonrf2
mmu:98388	CDS	1:complement(38902948..38937256)	Chst10, Hnk-1st, ST; carbohydrate sulfotransferase 10	Chst10
mmu:433292	CDS	1:38978230..38989357	Nms; neuromedin S	Nms
mmu:68833	CDS	1:39026895..39036317	Pdcl3, 1110061A19Rik, Viaf1; phosducin-like 3	Pdcl3
mmu:102466631	miRNA	1:complement(39225977..39226073)	Mir6349, Gm27558, mmu-mir-6349; microRNA 6349	Mir6349
mmu:18143	CDS	1:39233013..39402321	Npas2, MOP4, bHLHe9; neuronal PAS domain protein 2	Npas2
mmu:114641	CDS	1:39406987..39410992	Rpl31, Dts; ribosomal protein L31	Rpl31
mmu:54610	CDS	1:complement(39410576..39517860)	Tbc1d8, AD3, HBLP1, VRP; TBC1 domain family, member 8	Tbc1d8
mmu:115487696	ncRNA	1:39558614..39558828	Gm24826; predicted gene, 24826	Gm24826
mmu:52846	CDS	1:39574782..39585962	Cnot11, 2410015L18Rik, C40, D1Bwg0212e; CCR4-NOT transcription complex, subunit 11	Cnot11
mmu:100217461	ncRNA	1:complement(39587828..39587921)	Snord89, MBII-289; small nucleolar RNA, C/D box 89	Snord89
mmu:67702	CDS	1:complement(39590375..39616885)	Rnf149, 1600023E10Rik, Gm15832, Greul4; ring finger protein 149	Rnf149
mmu:115485772	ncRNA	1:complement(39612827..39612956)	Gm23722; predicted gene, 23722	Gm23722
mmu:263764	CDS	1:complement(39657574..39690350)	Creg2, A830098L22Rik; cellular repressor of E1A-stimulated genes 2	Creg2
mmu:619289	CDS	1:complement(39704459..39760149)	Rfx8, 4933400N17Rik; regulatory factor X 8	Rfx8
mmu:26921	CDS	1:39939806..40065470	Map4k4, 9430080K19Rik, HGK, Nik; mitogen-activated protein kinase kinase kinase kinase 4	Map4k4
mmu:16178	CDS	1:40123872..40164390	Il1r2, CD121b, Il1r-2; interleukin 1 receptor, type II	Il1r2
mmu:16177	CDS	1:40261651..40355361	Il1r1, CD121a, CD121b, IL-1R-1, IL-1R-alpha, IL-1R1, IL-1RT-1, IL-1RT1, IL-iR, Il1r-1; interleukin 1 receptor, type I	Il1r1
mmu:107527	CDS	1:40363697..40406722	Il1rl2, IL-1Rrp2; interleukin 1 receptor-like 2	Il1rl2
mmu:17082	CDS	1:40444105..40504575	Il1rl1, DER4, Fit-1, Ly84, ST2L, St2, St2-rs1, T1, T1/ST2; interleukin 1 receptor-like 1	Il1rl1
mmu:16182	CDS	1:40504712..40540014	Il18r1, Il18ralpha, Il1rrp; interleukin 18 receptor 1	Il18r1
